"ZIP","ReportingYear","ZIPType","CityName","StateName","StateAbbr","ENC_ZIP","ZCTA_USE"
"00501","2015","Post Office or large volume customer","Holtsville",,"NY","11742","11742"
"00544","2015","Post Office or large volume customer","Holtsville",,"NY","11742","11742"
"00601","2015","ZIP Code Area","Adjuntas",,"PR","00601","00601"
"00602","2015","ZIP Code Area","Aguada",,"PR","00602","00602"
"00603","2015","ZIP Code Area","Aguadilla",,"PR","00603","00603"
"00604","2015","Post Office or large volume customer","Aguadilla",,"PR","00603","00603"
"00605","2015","Post Office or large volume customer","Aguadilla",,"PR","00603","00603"
"00606","2015","ZIP Code Area","Maricao",,"PR","00606","00606"
"00610","2015","ZIP Code Area","Anasco",,"PR","00610","00610"
"00611","2015","Post Office or large volume customer","Angeles",,"PR","00641","00641"
"00612","2015","ZIP Code Area","Arecibo",,"PR","00612","00612"
"00613","2015","Post Office or large volume customer","Arecibo",,"PR","00612","00612"
"00614","2015","Post Office or large volume customer","Arecibo",,"PR","00612","00612"
"00616","2015","Post Office or large volume customer","Bajadero",,"PR","00612","00616"
"00617","2015","ZIP Code Area","Barceloneta",,"PR","00617","00617"
"00622","2015","Post Office or large volume customer","Boqueron",,"PR","00623","00622"
"00623","2015","ZIP Code Area","Cabo Rojo",,"PR","00623","00623"
"00624","2015","ZIP Code Area","Penuelas",,"PR","00624","00624"
"00627","2015","ZIP Code Area","Camuy",,"PR","00627","00627"
"00631","2015","ZIP Code Area","Castaner",,"PR","00631","00631"
"00636","2015","Post Office or large volume customer","Rosario",,"PR","00680","00680"
"00637","2015","ZIP Code Area","Sabana Grande",,"PR","00637","00637"
"00638","2015","ZIP Code Area","Ciales",,"PR","00638","00638"
"00641","2015","ZIP Code Area","Utuado",,"PR","00641","00641"
"00646","2015","ZIP Code Area","Dorado",,"PR","00646","00646"
"00647","2015","ZIP Code Area","Ensenada",,"PR","00647","00647"
"00650","2015","ZIP Code Area","Florida",,"PR","00650","00650"
"00652","2015","Post Office or large volume customer","Garrochales",,"PR","00612","00652"
"00653","2015","ZIP Code Area","Guanica",,"PR","00653","00653"
"00656","2015","ZIP Code Area","Guayanilla",,"PR","00656","00656"
"00659","2015","ZIP Code Area","Hatillo",,"PR","00659","00659"
"00660","2015","ZIP Code Area","Hormigueros",,"PR","00660","00660"
"00662","2015","ZIP Code Area","Isabela",,"PR","00662","00662"
"00664","2015","ZIP Code Area","Jayuya",,"PR","00664","00664"
"00667","2015","ZIP Code Area","Lajas",,"PR","00667","00667"
"00669","2015","ZIP Code Area","Lares",,"PR","00669","00669"
"00670","2015","ZIP Code Area","Las Marias",,"PR","00670","00670"
"00674","2015","ZIP Code Area","Manati",,"PR","00674","00674"
"00676","2015","ZIP Code Area","Moca",,"PR","00676","00676"
"00677","2015","ZIP Code Area","Rincon",,"PR","00677","00677"
"00678","2015","ZIP Code Area","Quebradillas",,"PR","00678","00678"
"00680","2015","ZIP Code Area","Mayaguez",,"PR","00680","00680"
"00681","2015","Post Office or large volume customer","Mayaguez",,"PR","00680","00680"
"00682","2015","ZIP Code Area","Mayaguez",,"PR","00682","00682"
"00683","2015","ZIP Code Area","San German",,"PR","00683","00683"
"00685","2015","ZIP Code Area","San Sebastian",,"PR","00685","00685"
"00687","2015","ZIP Code Area","Morovis",,"PR","00687","00687"
"00688","2015","Post Office or large volume customer","Sabana Hoyos",,"PR","00612","00688"
"00690","2015","ZIP Code Area","San Antonio",,"PR","00690","00690"
"00692","2015","ZIP Code Area","Vega Alta",,"PR","00692","00692"
"00693","2015","ZIP Code Area","Vega Baja",,"PR","00693","00693"
"00694","2015","Post Office or large volume customer","Vega Baja",,"PR","00693","00694"
"00698","2015","ZIP Code Area","Yauco",,"PR","00698","00698"
"00703","2015","ZIP Code Area","Aguas Buenas",,"PR","00703","00703"
"00704","2015","ZIP Code Area","Aguirre",,"PR","00704","00704"
"00705","2015","ZIP Code Area","Aibonito",,"PR","00705","00705"
"00707","2015","ZIP Code Area","Maunabo",,"PR","00707","00707"
"00714","2015","ZIP Code Area","Arroyo",,"PR","00714","00714"
"00715","2015","ZIP Code Area","Mercedita",,"PR","00715","00715"
"00716","2015","ZIP Code Area","Ponce",,"PR","00716","00716"
"00717","2015","ZIP Code Area","Ponce",,"PR","00717","00717"
"00718","2015","ZIP Code Area","Naguabo",,"PR","00718","00718"
"00719","2015","ZIP Code Area","Naranjito",,"PR","00719","00719"
"00720","2015","ZIP Code Area","Orocovis",,"PR","00720","00720"
"00721","2015","Post Office or large volume customer","Palmer",,"PR","00745","00745"
